root_id,lvl1_id,lvl2_id,lvl4_id,lvl2_name,lvl4_name,properties,agents,agents_received_entrustment,agents_received_search,entrustments,search_requests,search_requests_norm,specialists_5,specialists_10,specialists_30,marketwatch_alerts
1,105103,100,2011,Athens - Center,Goudi,785,264,1180,2930,18,1557,156,41,11,4,186
1,105103,100,2015,Athens - Center,Ilisia,754,261,1225,2941,32,1633,154,41,8,2,376
1,105103,100,2022,Athens - Center,Kipseli,3801,624,1202,2930,71,1650,221,184,89,18,527
1,105103,100,2025,Athens - Center,Patision - Acharnon,6157,724,1215,2943,91,1506,149,242,133,39,522
1,105103,100,2033,Athens - Center,Neos Kosmos,2904,530,1233,3034,56,1863,255,146,69,10,553
1,105103,100,2036,Athens - Center,Patisia,1570,413,1204,2926,35,1413,80,82,34,4,363
1,105103,100,2038,Athens - Center,Petralona,936,276,1184,2943,28,1665,189,49,21,2,338
1,105103,100,2099,Athens - Center,Kentro,4492,638,1276,2942,74,1467,120,216,108,30,574
1,105103,101,2100,Athens - North,Agios Stefanos,1187,228,1102,2615,18,588,32,55,34,8,277
1,105103,101,2101,Athens - North,Agia Paraskevi,3947,456,1202,2753,40,1032,207,136,85,23,525
1,105103,101,2102,Athens - North,Anoixi,662,202,1084,2615,6,583,27,38,12,2,226
1,105103,101,2103,Athens - North,Vrilissia,2300,293,1025,2694,27,808,103,107,63,12,407
1,105103,101,2104,Athens - North,Dionisos,1658,290,1127,2614,11,567,23,73,36,10,278
1,105103,101,2105,Athens - North,Drossia,1420,242,1107,2616,12,606,39,66,37,9,316
1,105103,101,2106,Athens - North,Ekali,2278,302,874,2691,1,574,26,85,54,18,440
1,105103,101,2107,Athens - North,Iraklio,2061,299,1138,2663,27,975,183,86,51,13,406
1,105103,101,2108,Athens - North,Kifissia,8829,575,1243,2867,44,858,165,201,138,63,658
1,105103,101,2109,Athens - North,Krioneri,365,108,874,2614,3,576,30,16,10,3,154
1,105103,101,2110,Athens - North,Lykovrisi,502,162,1031,2616,4,647,44,30,8,2,202
1,105103,101,2111,Athens - North,Marousi,5922,569,1245,2781,83,1117,269,207,129,51,638
1,105103,101,2112,Athens - North,Melissia,1509,294,1167,2692,23,732,70,75,40,8,397
1,105103,101,2113,Athens - North,Nea Erithraia,2699,330,1141,2692,19,696,88,104,66,22,461
1,105103,101,2114,Athens - North,Nea Penteli,462,142,930,2614,3,601,30,24,7,2,220
1,105103,101,2115,Athens - North,Neo Psychiko,922,230,1078,2626,11,850,109,54,18,4,342
1,105103,101,2116,Athens - North,Papagou,670,180,1019,2690,6,727,64,35,13,4,290
1,105103,101,2117,Athens - North,Penteli,986,231,1022,2614,7,589,25,51,17,4,300
1,105103,101,2118,Athens - North,Pefki,777,209,1058,2616,10,746,70,43,19,3,298
1,105103,101,2119,Athens - North,Rodopoli,111,62,879,2614,2,558,19,4,0,0,80
1,105103,101,2120,Athens - North,Stamata,436,143,951,2623,3,570,24,21,9,2,181
1,105103,101,2121,Athens - North,Filothei,742,199,883,2615,1,677,54,41,22,1,300
1,105103,101,2122,Athens - North,Chalandri,5369,552,1241,2797,67,1260,303,191,112,43,583
1,105103,101,2123,Athens - North,Cholargos,1262,283,1052,2779,10,955,151,67,34,9,390
1,105103,101,2124,Athens - North,Paleo Psichiko,863,222,1107,2614,6,701,67,46,21,3,333
1,105103,102,2200,Athens - South,Agios Dimitrios,2707,412,1232,2949,34,1105,212,126,68,14,497
1,105103,102,2201,Athens - South,Alimos,5212,525,1294,2775,45,1073,182,196,124,42,722
1,105103,102,2202,Athens - South,Argyroupoli,1461,280,1229,2728,21,971,137,76,31,10,420
1,105103,102,2203,Athens - South,Vari - Varkiza,4657,403,1297,2659,21,827,119,147,94,36,611
1,105103,102,2205,Athens - South,Voula,8463,570,1293,2641,30,891,148,245,160,68,820
1,105103,102,2206,Athens - South,Vouliagmeni,1267,255,1151,2640,11,758,72,76,38,5,484
1,105103,102,2207,Athens - South,Vironas,1591,376,1190,2759,33,964,166,92,27,5,389
1,105103,102,2208,Athens - South,Glyfada,13205,697,1388,2740,110,1291,425,309,204,103,898
1,105103,102,2209,Athens - South,Dafni,1327,309,1163,2685,17,1025,149,63,26,6,382
1,105103,102,2210,Athens - South,Elliniko,2015,360,1177,2783,11,858,87,91,52,11,543
1,105103,102,2211,Athens - South,Zografou,1940,367,1195,2791,46,1169,299,90,48,13,387
1,105103,102,2212,Athens - South,Ilioupoli,2297,344,1245,3090,34,1125,237,114,53,15,491
1,105103,102,2214,Athens - South,Kaisariani,773,240,1162,2731,16,927,137,42,14,1,271
1,105103,102,2215,Athens - South,Kalithea,5953,653,1284,2918,87,1460,448,232,138,43,696
1,105103,102,2216,Athens - South,Nea Smyrni,3770,529,1288,2869,55,1276,322,167,93,22,661
1,105103,102,2217,Athens - South,Palaio Faliro,5470,610,1341,2793,77,1148,272,215,138,46,731
1,105103,102,2218,Athens - South,Imittos,310,143,1054,2639,6,781,72,10,5,1,167
1,105103,103,2300,Athens - West,Agia Varvara,365,132,678,2667,26,390,37,15,6,2,73
1,105103,103,2301,Athens - West,Agioi Anargiroi,614,151,633,2599,14,486,74,29,13,4,99
1,105103,103,2302,Athens - West,Aigaleo,1562,271,730,2692,45,903,357,69,33,14,170
1,105103,107,2303,Rest of Attica,Ano Liosia,930,186,607,2334,38,180,51,22,15,6,57
1,105103,103,2304,Athens - West,Acharnes,3288,397,729,2633,88,576,180,114,66,21,189
1,105103,103,2305,Athens - West,Galatsi,1089,305,739,2716,27,669,182,42,17,5,162
1,105103,107,2306,Rest of Attica,Zefiri,105,45,572,2328,14,113,7,4,3,0,24
1,105103,103,2308,Athens - West,Ilion,1583,250,728,2597,49,584,147,62,32,10,149
1,105103,103,2309,Athens - West,Kamatero,891,148,657,2597,14,443,64,34,18,5,74
1,105103,103,2310,Athens - West,Metamorfosi,1639,280,690,2690,15,540,90,71,33,14,162
1,105103,103,2311,Athens - West,Nea Ionia,1908,350,753,2635,58,868,253,82,44,8,202
1,105103,103,2312,Athens - West,Nea Philadelfia,643,201,701,2630,18,644,130,29,16,2,120
1,105103,103,2313,Athens - West,Nea Chalkidona,203,91,658,2650,7,423,41,10,3,0,72
1,105103,103,2314,Athens - West,Peristeri,3659,385,758,2704,75,966,394,122,71,27,258
1,105103,103,2315,Athens - West,Petroupoli,846,148,722,2604,27,559,135,28,20,9,131
1,105103,103,2316,Athens - West,Chaidari,1072,199,725,2600,23,564,142,40,20,9,128
1,105103,104,2400,Athens - East,Anthousa,337,104,748,2570,10,261,15,10,4,2,53
1,105103,104,2401,Athens - East,Artemida (Loutsa),1700,264,794,2582,43,418,145,52,26,12,145
1,105103,104,2402,Athens - East,Gerakas,3134,367,810,2656,26,514,116,105,67,26,202
1,105103,104,2403,Athens - East,Glika Nera,1047,192,774,2572,14,353,51,47,24,8,131
1,105103,104,2404,Athens - East,Koropi,1980,345,829,2549,57,407,113,89,43,9,188
1,105103,104,2405,Athens - East,Marathonas,1006,250,786,2557,24,267,34,32,14,8,104
1,105103,107,2406,Rest of Attica,Markopoulo,2715,431,658,2356,56,316,143,101,47,15,197
1,105103,104,2407,Athens - East,Nea Makri,1472,258,795,2583,47,339,84,49,25,10,149
1,105103,104,2408,Athens - East,Paiania,1117,225,792,2574,21,338,55,41,17,8,157
1,105103,104,2409,Athens - East,Pallini,1807,295,799,2572,37,441,94,64,29,11,157
1,105103,107,2410,Rest of Attica,Pikermi,1475,267,630,2335,28,152,16,43,17,6,119
1,105103,107,2411,Rest of Attica,Rafina,1242,249,618,2553,15,222,70,45,26,7,142
1,105103,104,2412,Athens - East,Spata,930,187,765,2578,12,331,55,37,22,5,133
1,105103,105,2506,Piraeus,Neo Faliro,415,166,708,2703,15,743,123,21,8,1,146
1,105103,106,2600,Piraeus suburbs,Agios Ioannis Rentis,707,201,443,2628,18,216,53,34,11,2,125
1,105103,106001,2601,Argosaronikos islands,Agkistri,31,13,186,1532,3,27,18,1,1,0,25
1,105103,106001,2602,Argosaronikos islands,Aegina,1314,237,248,1604,30,76,67,32,17,4,101
